musteri_kodu,unvan,adres,sehir,ilce,lat,lon,rut_kod,rut_aciklama,ziyaret_sira,son_teslimat_tarihi,toplam_teslimat_sayisi,toplam_agirlik,toplam_tutar,durum,musteri_grubu,bolge_grubu,geocode_kaynak,geocode_hassasiyet,satis_temsilcileri,telefon,posta_kodu,ilk_teslimat_tarihi,son_teslimattan_gecen_gun
100000342,EGETEK VETERINER KLINIGI SAN.TIC.LTD.STI,Cumhuriyet Mah. 187/1 sok. no:7 Nazilli Aydın,AYDIN,NAZİLLİ,37.9128034,28.3289445,666,DERYA YAYLA PAZARTESİ,8,,0,0.0,0.0,Aktif,200 - VETERİNER,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5326261180,34000,,
100000360,MERCAN PET HOUSE,CUMH. MH.PROF.DR.TÜRKAN AYLAN CD.NO:29/C İNCİRLİOVA-AYDIN İNCİRLİOVA-AYDIN,AYDIN,İNCİRLİOVA,37.8526109,27.7247988,666,DERYA YAYLA PAZARTESİ,9,2026-05-11,4,455.0,33276.46,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5068261184,34000,2026-01-12,74
100000375,PET STATİON RAMAZAN GEZER,HAMİTABAT MAH MEHMET YAVAŞ CAD NO:26 ÇİNE AYDIN,AYDIN,ÇİNE,37.6155844,28.0581162,666,DERYA YAYLA PAZARTESİ,10,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5459695071,34000,,
100000389,KORUK TİCARET MUSTAFA KORUK,YAYLALI MAH M.KEMAL PAŞA CAD 18 KARACASU AYDIN,AYDIN,KARACASU,37.7309291,28.611381,666,DERYA YAYLA PAZARTESİ,11,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5418425229,34000,,
100000797,PET LOVE ŞENGÜL UZUNHİSARCIKLI,YENİCAMI MH. YÜKSEL YALOVA CD. NO:31,AYDIN,SÖKE,37.7501531,27.4067937,666,DERYA YAYLA PAZARTESİ,20,2026-06-03,6,2028.0,77568.72,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5323003678,34000,2025-12-22,51
100000816,BY TARÇIN PETSHOP ÖZDEM ÜRKMEZ,EFELER MH. 2250SK. NO:9A /5 EFELER,AYDIN,,,,666,DERYA YAYLA PAZARTESİ,21,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,basarisiz,yok,DERYA YAYLA,5422369516,34000,,
100000838,PETS POİNT PET SHOP BARIŞ ERÇEK,TÜRKMEN MAHALLESİ MUSTAFA VELİ SOKAK NO:4/A,AYDIN,KUŞADASI,37.8597918,27.2639805,666,DERYA YAYLA PAZARTESİ,22,2026-03-23,3,1226.0,48025.22,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5524108089,34000,2025-12-26,123
100000896,MUHARREM YENİPAZARLI YENİPAZARLI VETERİNER KLİNİĞİ,AYDINOĞLU MAH. İNÖNÜ CAD. NO:102 A KUYUCAK,AYDIN,KUYUCAK,37.9139878,28.4627946,666,DERYA YAYLA PAZARTESİ,24,,0,0.0,0.0,Aktif,200 - VETERİNER,cekirdek,erp,saha_gps,DERYA YAYLA,5397030676,34000,,
100000960,DEVRAN PETSHOP ÖZGÜR DEMİRER,CUMHURİYET MAH. BİRLİK SK. NO:5B KUŞADASI,AYDIN,KUŞADASI,37.8561821,27.2665228,666,DERYA YAYLA PAZARTESİ,27,2026-04-13,6,1117.0,70288.37,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5321771324,34000,2025-12-22,102
100000968,KEMAL GÜREL ARTVET VETERİNER KLİNİĞİ,ADNAN MENDERES MAH. 504 SK NO:3C EFELER,AYDIN,,37.7596719,27.703582,666,DERYA YAYLA PAZARTESİ,28,,0,0.0,0.0,Aktif,200 - VETERİNER,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5056193669,34000,,
