musteri_kodu,unvan,adres,sehir,ilce,lat,lon,rut_kod,rut_aciklama,ziyaret_sira,son_teslimat_tarihi,toplam_teslimat_sayisi,toplam_agirlik,toplam_tutar,durum,musteri_grubu,bolge_grubu,geocode_kaynak,geocode_hassasiyet,satis_temsilcileri,telefon,posta_kodu,ilk_teslimat_tarihi,son_teslimattan_gecen_gun
100000816,BY TARÇIN PETSHOP ÖZDEM ÜRKMEZ,EFELER MH. 2250SK. NO:9A /5 EFELER,AYDIN,,,,666,DERYA YAYLA PAZARTESİ,21,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,basarisiz,yok,DERYA YAYLA,5422369516,34000,,
100001147,ARSLANLAR YEM,UMURLU MAH.KUMALANI CD. NO:5/A,AYDIN,,,,672,DERYA YAYLA PERŞEMBE,37,,0,0.0,0.0,Aktif,202 - YEM TOPTAN,cekirdek,basarisiz,yok,DERYA YAYLA,5354370031,,,
100001043,ORYA STORE HIRDAVAT SAN.TİC.LTD.ŞTİ,YEDİEYLÜL MH BATI AYDIN BUL SAMANYOLU SİT C BLOK 2,AYDIN,,,,675,DERYA YAYLA CUMARTESİ,31,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,basarisiz,yok,DERYA YAYLA,5307347497,34000,,
100001128,VET AKADEMİ VETERİNERLİK GIDA HAYV. İNŞ. TIC. LTD.ŞTİ,CUMHURİYER MAH VALİ KONAĞI BULVARI NO 15A/7,AYDIN,,,,675,DERYA YAYLA CUMARTESİ,36,2026-03-30,2,555.0,36442.82,Aktif,200 - VETERİNER,cekirdek,basarisiz,yok,DERYA YAYLA,0501022220,,2026-02-28,116
100000387,DENİZ KAAN KURT,CUMA MH. EGEMENLİK BLV. NO:45/C,AYDIN,,,,,,,,0,0.0,0.0,Pasif,201 - PETSHOP,cekirdek,basarisiz,yok,,5062553801,34000,,
M0000147,GAZI AKVARYUM BALIKESIR,YILDIRIM MH. PAŞASARAY SOK. NO:48/54C,BALIKESİR,,,,729,ANIL BÖBEŞ RUT,54,,0,0.0,0.0,Aktif,201 - PETSHOP,sinir_dahil,basarisiz,yok,ANIL BÖBEŞ | MESUT ÖZAY BÖBEŞ,0542 298 55 68,,,
M0000151,OKYANUS CLUP*(KARESI-BALIKESIR),ATALAR CAD. AYTAÇLAR İŞ HANI KAT:1 NO:45-47,BALIKESİR,,,,729,ANIL BÖBEŞ RUT,58,,0,0.0,0.0,Aktif,201 - PETSHOP,sinir_dahil,basarisiz,yok,ANIL BÖBEŞ | MESUT ÖZAY BÖBEŞ,0554 981 37 86,,,
M0000173,ÇİFTLİK PETSHOP (CANAKKALE-MERKEZ),CEVATPAŞA MAH.MEHMETÇİK BULV. NO:3/1,BALIKESİR,,,,729,ANIL BÖBEŞ RUT,79,,0,0.0,0.0,Aktif,201 - PETSHOP,sinir_dahil,basarisiz,yok,ANIL BÖBEŞ | MESUT ÖZAY BÖBEŞ,5526191660,,,
M0000191,PETRA VETERINER (CANAKKALE-BIGA),ŞİRİNTEPE MAH. ŞEHİT METİN OKATAN CAD NO: 97 İÇ KAPI NO: Z1,BALIKESİR,,,,729,ANIL BÖBEŞ RUT,90,,0,0.0,0.0,Aktif,201 - PETSHOP,sinir_dahil,basarisiz,yok,ANIL BÖBEŞ | MESUT ÖZAY BÖBEŞ,537 564 23 53,,,
M0000192,CAN DOSTUM (CANAKKALE-MERKEZ),ESENLER MAH. BARIŞ CAD. NO: 40 İÇ KAPI NO: B,BALIKESİR,,,,729,ANIL BÖBEŞ RUT,91,,0,0.0,0.0,Aktif,201 - PETSHOP,sinir_dahil,basarisiz,yok,ANIL BÖBEŞ | MESUT ÖZAY BÖBEŞ,535 353 81 52,,,
M0000194,SAROS BALIK VE KUS (CANAKKALE-MERKEZ),KEMALPAŞA MH. DİBEK SK. NO:19/A,BALIKESİR,,,,729,ANIL BÖBEŞ RUT,93,,0,0.0,0.0,Aktif,201 - PETSHOP,sinir_dahil,basarisiz,yok,ANIL BÖBEŞ | MESUT ÖZAY BÖBEŞ,0544 271 37 46,,,
